,text,date,prediction
0,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/ILpopgzdRy",Tue Feb 09 23:59:51 +0000 2021,Nonabusive
1,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/CXSocAVBNn",Tue Feb 09 23:59:50 +0000 2021,Nonabusive
2,RT @UmarHasibuan__: Coba bapak tanya kanan kiri. Ada tuh pendukung bapak yg kerjanya spesialis laporin orang kepolisi cyber crime dgn alasa…,Tue Feb 09 23:59:49 +0000 2021,Nonabusive
3,"(๑•﹏•)Pemerintah juga memberikan Dana Tambahan Infrastruktur (DTI) sebesar 4,3 triliun Rupiah untuk mempercepat pen… https://t.co/s8zZcJCSuh",Tue Feb 09 23:59:46 +0000 2021,Nonabusive
4,"RT @Quvvatt: Tahukan anda ???
10 tahun Pa SBY tambah Utang Pemerintah Rp 1.303 T
 1 thn 2020 Pa JKW tambah Utang Pemerintah Rp 1.295 T

10…",Tue Feb 09 23:59:46 +0000 2021,Nonabusive
5,"RT @Quvvatt: Tahukan anda ???
10 tahun Pa SBY tambah Utang Pemerintah Rp 1.303 T
 1 thn 2020 Pa JKW tambah Utang Pemerintah Rp 1.295 T

10…",Tue Feb 09 23:59:42 +0000 2021,Nonabusive
6,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/BbbHa0bppN",Tue Feb 09 23:59:40 +0000 2021,Nonabusive
7,"RT @msaid_didu: Pemerintah : kita butuh kritikan tajam
BuzzeRp : kita tunggu yg kritik utk kami laporkan
Pulisi : hrs diperiksa krn langgar…",Tue Feb 09 23:59:33 +0000 2021,Nonabusive
8,"RT @MASPARJO: @VIVAcoid Presiden minta di kritik
Buzer rp ngelaporin
Polisi memproses
Dan pemerintah bilang negara tidak boleh interfensi h…",Tue Feb 09 23:59:27 +0000 2021,abusive
9,"Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebesar 7,8 triliu… https://t.co/afQSPvaW1K",Tue Feb 09 23:59:26 +0000 2021,Nonabusive
10,"Apa yang menjadi dasar dalam pelaksanaan otsus memang tidak tanggung-tanggung, pemerintah pusat telah memberikan ke… https://t.co/VSlyfkrBbG",Tue Feb 09 23:59:22 +0000 2021,Nonabusive
11,"RT @narkosun: Orang meninggal bukannya didoakan yg baik, malah jd bahan nyerang pemerintah. 

Angel wes angel kandanane.. https://t.co/FhH5…",Tue Feb 09 23:59:13 +0000 2021,Nonabusive
12,RT @UmarHasibuan__: Tertibkan dulu buzzernya pak @jokowi baru bicara pemerintah butuh kritik. Gimana orang mau berani kritik anda jk pd akh…,Tue Feb 09 23:59:09 +0000 2021,Nonabusive
13,( ꈨຶ ˙̫̮ ꈨຶ )Pemerintah Indonesia menetapkan dana otonomi khusus (otsus) untuk provinsi Papua dan Papua Barat sebes… https://t.co/4jb8gULD7P,Tue Feb 09 23:59:07 +0000 2021,Nonabusive
14,RT @idtodayco: Pemerintah Tegaskan Menerima Wakaf Dinar &amp; Dirham https://t.co/81XeEF4MKx,Tue Feb 09 23:59:04 +0000 2021,abusive
15,"RT @Quvvatt: Tahukan anda ???
10 tahun Pa SBY tambah Utang Pemerintah Rp 1.303 T
 1 thn 2020 Pa JKW tambah Utang Pemerintah Rp 1.295 T

10…",Tue Feb 09 23:59:03 +0000 2021,Nonabusive
16,"Ali Albert Kabiay mengatakan, kebijakan otsus itu dulu sangat dinanti-nanti orang Papua. Mereka semua bahagia ketik… https://t.co/f5KQmovB2A",Tue Feb 09 23:59:01 +0000 2021,Nonabusive
17,Kornelis Way berharap masyarakat asli Papua di Kota Sorong untuk mendukung keberlanjutan Otsus serta mendukung prog… https://t.co/GZsTmsn1t4,Tue Feb 09 23:59:01 +0000 2021,Nonabusive
18,"RT @msaid_didu: Pemerintah : kita butuh kritikan tajam
BuzzeRp : kita tunggu yg kritik utk kami laporkan
Pulisi : hrs diperiksa krn langgar…",Tue Feb 09 23:58:58 +0000 2021,Nonabusive
